"No.","Time","Source","Destination","Protocol","Length","Info"
"1648","10.756976","fe80::c30c:0:0:4","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1649","10.759905","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1650","10.761311","fe80::c30c:0:0:4","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1651","10.764056","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1652","10.765643","fe80::c30c:0:0:4","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1653","10.768206","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1654","10.772356","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1655","10.776507","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1656","10.780657","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1657","10.784808","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1658","10.788959","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1659","10.793153","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1660","10.797289","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1661","10.801440","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1662","10.805591","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1663","10.809742","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1664","10.820862","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"1665","10.824999","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","102","RPL Control (DODAG Information Object)"
